direction,method,idf_scheme,query_id,doc_id,category,assessment,reason
tolstoy_to_dostoevsky,bm25,global,tolstoy:tolstoy_vol2:02552,dostoevsky:dostoevsky_part4:02919,surface_lexical,weak,"Совпадение вызвано длинным французским фрагментом и формульными вставками, а не общим содержанием."
tolstoy_to_dostoevsky,bm25,global,tolstoy:tolstoy_vol1:00667,dostoevsky:dostoevsky_part4:02919,surface_lexical,weak,"Эпистолярный французский регистр и общие вежливые обороты дают высокий lexical overlap, но темы фрагментов различны."
tolstoy_to_dostoevsky,bm25,global,tolstoy:tolstoy_vol2:03231,dostoevsky:dostoevsky_part2:00771,ambiguous,medium,"Оба фрагмента построены как напряженное нравственное обращение, но совпадение держится и на общей риторике, и на абстрактной лексике."
tolstoy_to_dostoevsky,bm25,global,tolstoy:tolstoy_vol2:02953,dostoevsky:dostoevsky_part2:00750,thematic,strong,"Есть реальная близость по моральному регистру: долг, честь, внутреннее обязательство и религиозно-этическая аргументация."
tolstoy_to_dostoevsky,bm25,global,tolstoy:tolstoy_vol2:03611,dostoevsky:dostoevsky_part4:03082,thematic,medium,"Оба фрагмента описывают женское страдание и эмоционально напряженную социальную ситуацию; совпадение не только поверхностное."
tolstoy_to_dostoevsky,tfidf,global,tolstoy:tolstoy_vol1:00810,dostoevsky:dostoevsky_part4:02440,surface_lexical,weak,"Почти целиком формульное совпадение по обращению 'ваше превосходительство'."
tolstoy_to_dostoevsky,tfidf,global,tolstoy:tolstoy_vol4:06596,dostoevsky:dostoevsky_part3:01643,surface_lexical,weak,"Пара возникает из-за повторяющихся междометий и маркированного смеха 'ха-ха', без содержательного сходства."
dostoevsky_to_tolstoy,bm25,global,dostoevsky:dostoevsky_part2:01035,tolstoy:tolstoy_vol3:05078,ambiguous,medium,"Оба фрагмента имеют форму большой риторической речи о воле и решимости, но смысловые центры различны; совпадение частично стилистическое."
dostoevsky_to_tolstoy,bm25,global,dostoevsky:dostoevsky_part2:01147,tolstoy:tolstoy_vol2:02971,thematic,medium,"Есть общая линия психологической трансформации и внутреннего самоописания, хотя сцены сюжетно не связаны."
dostoevsky_to_tolstoy,bm25,global,dostoevsky:dostoevsky_part4:03109,tolstoy:tolstoy_vol2:03231,thematic,strong,"Оба фрагмента строятся вокруг страдания, суда над человеком и попытки религиозного объяснения боли."
dostoevsky_to_tolstoy,bm25,global,dostoevsky:dostoevsky_part1:00335,tolstoy:tolstoy_vol3:04324,ambiguous,medium,"Сходство идет по сильной негативной эмоциональной лексике и мотиву унижения; тематическая близость есть, но она не очень специфична."
dostoevsky_to_tolstoy,tfidf,global,dostoevsky:dostoevsky_part1:00542,tolstoy:tolstoy_vol4:07318,surface_lexical,weak,"Совпадение держится на коротких повторяющихся конструкциях про возможность/невозможность счастья, без глубокой семантической связи."
