query_id,source,query,num_doc_labels,doc_name
ce40d2c4-f403-4736-ace1-7fca9c722aba,popqa,What is John Mayne's occupation?,1,John Mayne
647d126c-564b-46c6-a8a7-6eda23449e10,popqa,What is Kathy Saltzman's occupation?,1,Kathy Saltzman
e8acd86c-e651-47fa-8440-2eb759a5f5ea,popqa,What is Eleanor Davis's occupation?,2,Eleanor Davis
4d5a3c5c-4b7c-4633-a9f9-a39d9e885344,popqa,"What is William Murray, 1st Earl of Mansfield's occupation?",1,"William Murray, 1st Earl of Mansfield"
5bede7e0-5a07-480a-ba01-b2e7adffd4e2,popqa,What is Þorsteinn Bachmann's occupation?,1,Þorsteinn Bachmann
b36e15b4-74a1-433c-8a0b-ad79e29ab837,popqa,What is Jacob Kraemer's occupation?,1,Jacob Kraemer
6c512c5b-f2d6-471f-8984-5672f49f6fb7,popqa,What is Bae Geu-rin's occupation?,1,Bae Geu-rin
da59acd0-881b-42c0-b403-4b39e44a591c,popqa,What is John Floyd's occupation?,1,John Floyd (Georgia politician)
8e7e3452-5510-40d9-ac52-738cb7384ec4,popqa,What is Sachiko Kokubu's occupation?,1,Sachiko Kokubu
68c18f33-3e20-4749-88f1-bb474eb30da0,popqa,What is Akari Hayami's occupation?,3,Akari Hayami
e9a21d20-3a8c-47ee-bae8-2682720ec526,popqa,What is Paris's occupation?,1,Paris (actor under Domitian)
80a1cedb-aec4-468d-81ec-9d3ef02a8145,popqa,What is Fairfax M. Cone's occupation?,1,Fairfax M. Cone
d423a7eb-9ba3-4492-aec2-d47c6a5161f2,popqa,What is Albert Bates's occupation?,1,Albert Bates
f80d260e-da2b-4eeb-b123-4646f089d609,popqa,What is Heath's occupation?,1,Heath (musician)
39576651-e3e0-4925-b6e4-1ca30630ee22,popqa,What is Yoshiki Tonogai's occupation?,1,Yoshiki Tonogai
c005f888-4c96-44f4-875b-a769cbd6e20c,popqa,What is Thomas R. Whitney's occupation?,1,Thomas R. Whitney
83eab852-6fa6-4276-af14-18d778ec1190,popqa,What is Edwin Wallock's occupation?,1,Edwin Wallock
57972309-2b29-48eb-a6c3-cbdaeda41a84,popqa,What is Tsutomu Seki's occupation?,2,Tsutomu Seki
68d9ab39-5f61-4047-83c6-7e07bba03a83,popqa,What is Matthew McKay's occupation?,1,Matthew McKay (politician)
47335a90-c4ce-4bec-9871-a2ed211283cc,popqa,What is Dominick Bellizzi's occupation?,2,Dominick Bellizzi
893ae90f-e924-45eb-a57d-e03bdf1fd1c1,popqa,What is Brendan Canty's occupation?,3,Brendan Canty
0f89c580-f57e-48c8-a9ed-e6f5f8a944dd,popqa,What is María Elena Marqués's occupation?,2,María Elena Marqués
719d5d4b-7781-4db5-8390-f585a00eab5b,popqa,What is Patrick O'Brien Demsey's occupation?,1,Patrick O'Brien Demsey
b9f177c7-ef88-4fa5-83e5-0f8bf4d31fd1,popqa,What is Boutheina Jabnoun's occupation?,1,Boutheina Jabnoun Marai
229ce405-344e-4c96-a78d-1696fbab71c7,popqa,What is Modou Dia's occupation?,1,Modou Dia
b94bc44b-a209-4657-ba3e-7c86c2c3e1a6,popqa,What is Glenn Albrecht's occupation?,1,Glenn Albrecht
eef5462e-ecc7-4ef4-babf-7831fc73c909,popqa,What is Tobias Lindholm's occupation?,2,Tobias Lindholm
5a8d2b67-0d7f-4f54-9108-c6b8dff6434f,popqa,What is Ingrid Martinez's occupation?,1,Íngrid Martz
ce0d1bd7-042f-4503-8ef9-3c0f04e5c433,popqa,What is Tolis Voskopoulos's occupation?,1,Tolis Voskopoulos
056160dd-bd95-45e1-8f7f-c3649ee78e24,popqa,What is Marco Ameglio's occupation?,1,Marco Ameglio
2da6c37b-e4a2-44c2-a6b4-ef9c9b3cc1ef,popqa,What is Mohd Sharkar Shamsudin's occupation?,2,Mohd Sharkar Shamsudin
1d640f82-ac32-43a5-8ccc-8a502fc4f342,popqa,What is Anthony Sharp's occupation?,5,Anthony Sharp
bf96e1b4-b4f7-4c7d-9004-20759bc39f8a,popqa,What is Claire Berlinski's occupation?,1,Claire Berlinski
9fe11d6e-2634-44c3-84ff-35b6873d6750,popqa,What is Russell Stokes's occupation?,1,Russell Stokes
f88e315c-c4d8-47ee-98b0-57b309221aa3,popqa,What is C. E. Webber's occupation?,2,C. E. Webber
38878a2e-ae69-44f2-b606-b72dd15ddf92,popqa,What is Muhammad Ali Luqman's occupation?,2,Muhammad Ali Luqman
094243a1-1a81-4b07-937d-007194798264,popqa,What is Ivo Perilli's occupation?,1,Ivo Perilli
d86e4b65-10ba-44e1-8b17-e4b952e6f8af,popqa,What is Joseph Weydemeyer's occupation?,4,Joseph Weydemeyer
3c4d6443-4cf9-4e03-bbb5-f06281ff7a2b,popqa,What is Ai's occupation?,4,Ai (poet)
0281c798-3494-4ec9-a1ad-1a70e7fcf71c,popqa,What is Rinaldo del Mel's occupation?,3,Rinaldo del Mel
f7f7e3ef-e4f0-418f-b1e2-81164989b876,popqa,What is Annie Beustes's occupation?,1,Annie Beustes
b77a9faa-330e-41a2-b893-b0b98c448a3f,popqa,What is Elisa Bridges's occupation?,1,Elisa Bridges
19183d8e-60a7-4d68-a838-3360e352a774,popqa,What is Domingo Eyzaguirre's occupation?,1,Domingo Eyzaguirre
dc2e63b2-e6eb-462b-8227-30bf82d15704,popqa,What is Suzanne Lilar's occupation?,2,Suzanne Lilar
46744b36-df02-42d9-bc8d-f70a245a83e9,popqa,What is Karen Redman's occupation?,2,Karen Redman
a70ba480-c9fa-49ff-b4df-a68424d4635f,popqa,What is Eduard Looijenga's occupation?,1,Eduard Looijenga
f39724f8-39fd-4fe5-a1db-4c366c2e6988,popqa,What is Petrus Camper's occupation?,1,Petrus Camper
13a90db1-36ec-4707-ad2c-1c0afd34c24a,popqa,What is Jacopo Melani's occupation?,2,Jacopo Melani
dac9ab34-e9a4-43c1-a6c1-299711a25985,popqa,What is Charlotte von Hagn's occupation?,2,Charlotte von Hagn
1a3acc25-e593-4999-8652-612f42aff0f3,popqa,What is Michael Hutchings's occupation?,1,Michael Hutchings (chef)
59ee69b1-f4d6-4cea-bc17-2ec1f066615f,popqa,What is James Alex Msekela's occupation?,1,James Msekela
b7ea0a28-9c7f-469f-a581-845e3ff2b383,popqa,What is Hiroyuki Arai's occupation?,1,Hiroyuki Arai
305e9600-e316-46b0-9e95-2ef5dedd1178,popqa,What is Melinda Mullins's occupation?,1,Melinda Mullins
3e7842a3-416b-4e96-97a4-444e96ff0655,popqa,What is Meyer Lutz's occupation?,5,Meyer Lutz
55d7decd-7a10-4a37-9923-5e970c10be77,popqa,What is Ludwig Lichtschein's occupation?,1,Ludwig Lichtschein
941f7ab7-04dc-495f-822b-6fc8f0cc34b0,popqa,What is Władysław Sławny's occupation?,1,Władysław Sławny
b62518aa-0278-4bbb-823b-bd8c0295b153,popqa,What is Johnson's occupation?,4,Johnson (composer)
4b0ef0af-25f3-464b-a238-80b0f96395d6,popqa,What is Walter Köbel's occupation?,1,Walter Köbel
0b334104-8268-40d9-9ad7-05dbbe9bd30a,popqa,What is Debbie Johnson's occupation?,1,Debbie Johnson
89aeefef-73f0-4da1-88e0-b0e381475595,popqa,What is Kekko Fornarelli's occupation?,2,Kekko Fornarelli
08e79974-675c-4ce5-9e1d-952c088522d1,popqa,What is Adil Shamoo's occupation?,1,Adil Shamoo
2b1cbd52-01d8-4798-aac4-3893c05a368d,popqa,What is Patrick Mulvany's occupation?,1,Patrick Mulvany
0b23b2b2-5736-4599-a0f5-da43bee2461b,popqa,What is Gerard Kennedy's occupation?,1,Gerard Kennedy (actor)
27dd4b34-cfc2-4cfd-97be-1fe008e3cdcc,popqa,What is Giora Godik's occupation?,1,Giora Godik
6e1c9f55-c77a-4527-8170-e98a869f0f30,popqa,What is Lillian Lawrence's occupation?,2,Lillian Lawrence
8f4c2f14-b410-42f9-9855-843cc57c5771,popqa,What is Philip Rosenberg's occupation?,1,Philip Rosenberg
075fcad0-3d05-449c-b372-a07ebbe3d334,popqa,What is Mariana Vicente's occupation?,1,Mariana Vicente
d5a55717-ccfd-4ef7-95a5-dc6bf0ad65cf,popqa,What is Huntington Wilson's occupation?,1,Huntington Wilson
f723e4d6-b608-43ec-8f46-b0c6ce85bd15,popqa,What is Bala's occupation?,3,Bala (director)
d2e16cd5-565e-443a-b0a1-4a830d981bce,popqa,What is Steve Tom's occupation?,1,Steve Tom
38cbff2d-02dc-4190-b053-d00e63654a23,popqa,What is Ilja Rosendahl's occupation?,2,Ilja Rosendahl
a93e7f40-30ad-45f7-a3cd-19ee5d5dc492,popqa,What is Thanasis Pafilis's occupation?,2,Thanasis Pafilis
af740e63-89a7-42e0-8590-798437f7490d,popqa,What is Christopher Butson's occupation?,1,Christopher Butson (priest)
c36868e1-21bd-435d-a51b-e5c0f6b86306,popqa,What is Hate Man's occupation?,2,Hate Man
c9d7b764-40e1-4090-a025-b06c50f1d6a0,popqa,What is Rich Brightman's occupation?,1,Rich Brightman
8adda8ac-2a34-457c-8f8d-df128285da7b,popqa,What is Edward Norton's occupation?,1,Edward Norton (MP)
055869b8-82e0-4321-94cb-6dcc0a3933c0,popqa,What is Jonathan Le Billon's occupation?,3,Jonathan Le Billon
3061dbd0-d2ff-4692-94a0-e1e24bd09987,popqa,What is Eliza Lawrence's occupation?,1,Eliza Lawrence
4d70a67d-9ada-4426-9735-919c642953cf,popqa,What is Charles Combe's occupation?,1,Charles Combe
667eb8fb-d529-42e9-aae1-4f47c5fc14f2,popqa,What is GQ's occupation?,2,GQ (actor)
ada03f12-0d44-450b-b662-54ac89504269,popqa,What is John D. Maurice's occupation?,1,John D. Maurice
344b2a80-0461-485e-ab1a-aec252145cff,popqa,What is Harvey Benge's occupation?,1,Harvey Benge
967cdb76-b6e2-4d81-bd92-d1e4508fc827,popqa,What is Alan Huckle's occupation?,1,Alan Huckle
aa42b71d-d091-4982-8230-745b4352154e,popqa,What is Sylwester Braun's occupation?,1,Sylwester Braun
