query_id,text,length_words
17783,apulia,1
6054,isaac newton,2
13635,u boat,2
30212,provinces of france,3
8663,mattel,1
18449,vandals,1
15010,the walt disney company,4
4863,george orwell,2
349,aol,1
17621,saturn,1
1321,brussels,1
75254,keighley,1
8998,nigeria,1
5558,h,1
18040,conservation movement,2
75244,provinces of belgium,3
20491,richard rodgers,2
39847,russian literature,2
15549,brittany,1
27218,kauai,1
124,anatolia,1
6486,julian calendar,2
5204,goths,1
24434,list of french monarchs,4
12221,south holland,2
10467,standard chinese,2
84954,capital city,2
3416,dead sea,2
8874,nitrogen,1
20898,lincolnshire,1
5246,george harrison,2
19136,coptic language,2
95516,british north america,3
8804,marvel comics,2
20849,aztec mythology,2
15107,norfolk,1
36683,eastern bloc,2
8966,new caledonia,2
8669,megadeth,1
4441,f,1
8202,missouri,1
7001,kentucky,1
21076,united states department of the treasury,6
17060,flevoland,1
8366,montana,1
19828,sumer,1
15200,ovid,1
80953,south tyrol,2
1640,barcelona,1
4860,german language,2
13680,politics of the united states,5
10825,richard nixon,2
7707,lower saxony,2
3692,esperanto,1
39633,evangelism,1
11374,suriname,1
648,ares,1
9594,papua new guinea,3
18959,queen victoria,2
77703,northern europe,2
23242,papal states,2
20605,delaware river,2
26704,pacific coast league,3
11347,soviet union,2
9246,newfoundland and labrador,3
26661,java,1
9589,poetry,1
3607,devanagari,1
6947,karl marx,2
37072,great yarmouth,2
18914,gloucestershire,1
13847,vatican city,2
18954,hudson river,2
22922,hudson bay,2
2268,chinese philosophy,2
17283,tom hanks,2
956,arabian sea,2
97373,french third republic,3
88741,federal government of the united states,6
1490,big bang,2
387,aachen,1
6695,jim henson,2
7914,madagascar,1
13771,urdu,1
77053,counties of sweden,3
9530,orchidaceae,1
13566,united nations,2
13702,ulster,1
6344,international monetary fund,3
10160,postscript,1
14242,western australia,2
5140,geneva,1
6008,iceland,1
4157,euphrates,1
8210,missouri river,2
9172,national hockey league,3
81415,nordland,1
81402,nepal,1
8856,new hampshire,2
12813,thailand,1
37360,wallonia,1
9608,politics,1
21884,naples,1
4513,frankfurt,1
10340,political science,2
87341,municipalities of puerto rico,4
3143,dravidian languages,2
14464,yale university,2
28886,democratic republic of the congo,5
14463,yiddish,1
11404,solar system,2
6962,korean war,2
13734,united states virgin islands,4
27477,david lean,2
94262,religion in ancient rome,4
6455,japan,1
19586,san francisco,2
14082,world war ii,3
1979,central processing unit,3
4589,freemasonry,1
8938,namibia,1
4,alabama,1
252,aleister crowley,2
76103,mongolian language,2
77798,order of canada,3
4978,guernsey,1
31618,annwn,1
31404,cyndi lauper,2
29738,aerospace manufacturer,2
10800,religion,1
19880,astronomy,1
12505,serbia,1
9407,ostrogoths,1
11897,suffolk,1
32778,religious denomination,2
14240,wyoming,1
14130,west germany,2
29793,canadian confederation,2
12773,trojan war,2
11332,sigmund freud,2
5769,parliament of the united kingdom,5
110,arabic,1
13825,virgil,1
5129,gospel of luke,3
7883,microsoft windows,2
24435,southern california,2
1673,baghdad,1
1701,bdsm,1
6120,international phonetic alphabet,3
17191,katharine hepburn,2
13578,university of oxford,3
3847,ericaceae,1
79961,saronic gulf,2
19939,river severn,2
78657,emilia romagna,2
26646,illinois river,2
10562,professional wrestling,2
90232,theosophical society,2
4120,elizabeth i of england,4
13433,tori amos,2
24204,maiden and married names,4
17622,uranus,1
71424,scottish borders,2
17391,interstate highway system,3
2228,cthulhu mythos,2
6055,immanuel kant,2
19241,great northern war,3
75612,order of australia,3
7647,long island,2
73399,general officer,2
6892,kazakhstan,1
12697,the simpsons,2
11437,silicon valley,2
7169,kashubian language,2
59493,county down,2
11436,san francisco peninsula,3
26957,anthony trollope,2
30,american football conference,3
13585,colleges of the university of cambridge,6
10675,pittsburgh,1
30729,leo mccarey,2
89847,electrical conductor,2
397,aeneas,1
24782,fredric march,2
16771,katowice,1
12304,shiva,1
99815,filipino language,2
11717,svalbard,1
11592,samoa,1
10805,rock music,2
14119,wu tang clan,3
26863,napoleon,1
23233,russians,1
13633,universe,1
6046,indian religions,2
7868,mustelidae,1
5704,house of habsburg,3
84735,cantons of switzerland,3
29505,oleaceae,1
4861,greek language,2
73598,west yorkshire,2
6954,korean language,2
14460,yahweh,1
18591,egyptian language,2
1137,atlanta,1
38534,pre raphaelite brotherhood,3
8073,micronesia,1
11644,singapore,1
5341,giuseppe verdi,2
1197,baltic sea,2
2059,california,1
20148,low countries,2
10818,richard wagner,2
17041,irish free state,3
239,adelaide,1
39761,parliament funkadelic,2
1348,bavaria,1
2846,list of cat breeds,4
12026,sufism,1
17774,calabria,1
14147,western sahara,2
14032,vice president of the united states,6
12926,thelema,1
80216,gospel music,2
81419,oppland,1
25027,national league,2
19370,oceanus,1
11492,sub saharan africa,3
198,auto racing,2
6047,idaho,1
2015,charlemagne,1
93462,bbc one,2
10241,portsmouth,1
28109,south china sea,3
23598,kevin smith,2
15506,pas de calais,3
13863,virginia,1
11429,silent film,2
80046,gerry anderson,2
29032,oedipus,1
11341,international system of units,4
18539,crimean war,2
16889,gulf of guinea,3
22096,bergen,1
14676,milan,1
25174,berkshire,1
82974,nine network,2
10899,rosaceae,1
89714,scientific theory,2
15519,list of swedish monarchs,4
11343,south america,2
10497,pyrenees,1
7571,louisiana,1
6571,julius caesar,2
9598,plato,1
4146,eastern orthodox church,3
27496,prose edda,2
26045,indre et loire,3
34880,london borough of southwark,4
5330,gram positive bacteria,3
15126,cbs,1
91423,provinces of thailand,3
14190,whidbey island,2
6529,jules verne,2
13744,ural mountains,2
573,american english,2
10072,portuguese language,2
79893,hunan,1
23048,robotic spacecraft,2
46323,am broadcasting,2
95434,roman emperor,2
1799,international bureau of weights and measures,6
92577,west riding of yorkshire,4
12780,t,1
15162,roger zelazny,2
4223,european space agency,3
6053,ingmar bergman,2
11574,saint lucia,2
6024,republic of ireland,3
24343,carolingian empire,2
22113,right wing politics,3
14291,western europe,2
69,angola,1
8203,moses,1
2434,electric current,2
5960,holy spirit,2
2336,church of england,3
28485,california state route 1,4
7481,lake superior,2
64,asia,1
76544,federation,1
13098,age of enlightenment,3
1967,central europe,2
32539,christian rock,2
14256,wessex,1
91502,historic counties of england,4
2080,cameroon,1
1756,the beano,2
1956,charlie chaplin,2
21139,salt lake city,3
951,andalusia,1
34915,london borough of ealing,4
37546,internet service provider,3
79,actinopterygii,1
26411,east prussia,2
8017,malta,1
97898,states of brazil,3
6190,ip address,2
21554,autonomous communities of spain,4
20815,east midlands,2
1219,black sea,2
3410,denver,1
6013,internet,1
73402,holy land,2
9116,north american english,3
14706,yorkshire,1
98175,trade name,2
81223,provinces of indonesia,3
71732,powys,1
12323,scottish highlands,2
3683,earth,1
8358,mark antony,2
21576,inner mongolia,2
77031,list of towns and cities in norway,7
2335,cleveland,1
9344,ottawa,1
1352,bornholm,1
19746,looney tunes,2
9075,noam chomsky,2
15631,jupiter,1
90199,elektra records,2
4906,gabon,1
2161,cretaceous,1
2757,canadian football,2
