length_bucket,AP,nDCG@20,run_id
1 word,0.23324090039609666,0.3940703545523959,tfidf_original_test
2 words,0.14647832787831064,0.3241651668676755,tfidf_original_test
3+ words,0.09120465591164016,0.23530256018814624,tfidf_original_test
1 word,0.23932247602060674,0.4111332252175356,tfidf_stemmed_test
2 words,0.14927434125393493,0.3333021799766359,tfidf_stemmed_test
3+ words,0.09267165972143315,0.25196954859040466,tfidf_stemmed_test
1 word,0.2338877149998506,0.3989640363964458,tfidf_lemmatized_test
2 words,0.1466821215304015,0.32384217133004467,tfidf_lemmatized_test
3+ words,0.10405323490376182,0.25660034159387446,tfidf_lemmatized_test
1 word,0.2346445681283963,0.3869640517330874,bm25_original_test_k1_1.5_b_0.75
2 words,0.18036563738790207,0.3916197091839668,bm25_original_test_k1_1.5_b_0.75
3+ words,0.11369089533158062,0.2835194183772931,bm25_original_test_k1_1.5_b_0.75
1 word,0.24152807455726216,0.4065770932898348,bm25_stemmed_test_k1_1.5_b_0.75
2 words,0.18273955909318068,0.3942292559830532,bm25_stemmed_test_k1_1.5_b_0.75
3+ words,0.11768498001459497,0.2977872589633688,bm25_stemmed_test_k1_1.5_b_0.75
1 word,0.23628100436779995,0.3928851963815368,bm25_lemmatized_test_k1_1.5_b_0.75
2 words,0.18141306422264666,0.3889790301441455,bm25_lemmatized_test_k1_1.5_b_0.75
3+ words,0.11639741791534776,0.30053420245753987,bm25_lemmatized_test_k1_1.5_b_0.75
