query_id,text,length_words,relevant_docs,nDCG@20
3680,e,1,18,0.0
29834,baron,1,10,0.0
11553,s,1,10,0.0
5725,heavy metal music,3,40,0.0
78614,corvidae,1,31,0.062186978873009
73353,ancient greek,2,348,0.062186978873009
5682,houston,1,22,0.0657867275724679
14839,cambridge,1,14,0.0712135901596347
85241,television in the united kingdom,5,10,0.1042885296931158
21207,seine,1,8,0.1060468018628874
12949,terry gilliam,2,8,0.116712182101225
6644,jacob,1,6,0.1296002643750316
80585,kingdom of ireland,3,16,0.1471640757654796
25985,west africa,2,46,0.1531254589962788
6977,kalmar union,2,10,0.1612241640485784
